ine5,municipi,etca_resident,poblacio_etca,etca_estacional,etca_pct
08011,Avià,2242.0,1990.0,-252.0,88.8
08016,Bagà,2181.0,2305.0,124.0,105.7
08022,Berga,17195.0,17057.0,-138.0,99.2
08024,Borredà,,,,
08045,Capolat,,,,
08049,Casserres,1675.0,1571.0,-104.0,93.8
08050,Castellar del Riu,,,,
08052,Castellar de n'Hug,,,,
08057,Castell de l'Areny,,,,
08078,"Espunyola, l'",,,,
08080,Fígols,,,,
08092,Gironella,5072.0,4760.0,-312.0,93.8
08093,Gisclareny,,,,
08099,Guardiola de Berguedà,951.0,1005.0,54.0,105.7
08130,Montclar,,,,
08132,Montmajor,,,,
08142,"Nou de Berguedà, la",,,,
08144,Olvan,,,,
08166,"Pobla de Lillet, la",1107.0,1121.0,14.0,101.3
08175,Puig-reig,4482.0,4313.0,-169.0,96.2
08177,"Quar, la",,,,
08188,Sagàs,,,,
08190,Saldes,,,,
08216,Sant Jaume de Frontanyà,,,,
08255,Santa Maria de Merlès,,,,
08268,Cercs,1193.0,1130.0,-63.0,94.7
08293,Vallcebre,,,,
08299,Vilada,,,,
08308,Viver i Serrateix,,,,
08903,Sant Julià de Cerdanyola,,,,
25100,Gósol,,,,
