scope,nivell_nominal,cobertura_loo,cobertura_insample,n
GLOBAL,50,49.6,50.0,486
GLOBAL,60,59.1,59.3,486
GLOBAL,70,68.7,69.1,486
GLOBAL,80,78.4,79.0,486
GLOBAL,90,88.5,88.5,486
GLOBAL,95,93.2,93.4,486
corona_metropolitana,50,55.6,55.6,9
corona_metropolitana,60,55.6,55.6,9
corona_metropolitana,70,55.6,55.6,9
corona_metropolitana,80,55.6,77.8,9
corona_metropolitana,90,77.8,77.8,9
corona_metropolitana,95,77.8,77.8,9
interior_rural,50,49.6,50.1,363
interior_rural,60,59.8,59.8,363
interior_rural,70,69.7,69.7,363
interior_rural,80,79.6,79.6,363
interior_rural,90,89.5,89.5,363
interior_rural,95,94.5,94.5,363
litoral_metropolita,50,42.9,42.9,7
litoral_metropolita,60,42.9,42.9,7
litoral_metropolita,70,57.1,71.4,7
litoral_metropolita,80,57.1,71.4,7
litoral_metropolita,90,71.4,71.4,7
litoral_metropolita,95,71.4,71.4,7
litoral_vacacional,50,49.2,49.2,63
litoral_vacacional,60,57.1,58.7,63
litoral_vacacional,70,68.3,68.3,63
litoral_vacacional,80,77.8,77.8,63
litoral_vacacional,90,87.3,87.3,63
litoral_vacacional,95,92.1,93.7,63
metropolita_dens,50,50.0,50.0,44
metropolita_dens,60,59.1,59.1,44
metropolita_dens,70,65.9,68.2,44
metropolita_dens,80,77.3,77.3,44
metropolita_dens,90,86.4,86.4,44
metropolita_dens,95,90.9,90.9,44
