ine5,municipi,altitud_m,densitat_hab_km2,superficie_km2
08011,Avià,677,83.1,27.23
08016,Bagà,785,50.2,43.13
08022,Berga,704,777.1,22.57
08024,Borredà,854,10.0,43.45
08045,Capolat,1279,2.7,34.13
08049,Casserres,611,56.5,29.46
08050,Castellar del Riu,920,4.6,32.74
08052,Castellar de n'Hug,1395,3.5,47.12
08057,Castell de l'Areny,954,2.8,24.35
08078,l'Espunyola,803,7.3,35.46
08080,Fígols,1154,1.4,29.31
08092,Gironella,469,749.6,6.78
08093,Gisclareny,1340,0.8,36.47
08099,Guardiola de Berguedà,720,15.6,61.73
08130,Montclar,728,6.1,21.89
08132,Montmajor,756,6.2,76.49
08142,la Nou de Berguedà,876,6.5,25.01
08144,Olvan,553,26.0,35.58
08166,la Pobla de Lillet,843,21.5,51.45
08175,Puig-reig,455,99.6,45.75
08177,la Quar,885,1.2,38.25
08188,Sagàs,738,3.4,44.60
08190,Saldes,1215,4.5,66.40
08216,Sant Jaume de Frontanyà,1072,1.2,21.26
08255,Santa Maria de Merlès,532,3.4,52.08
08268,Cercs,650,26.1,47.35
08293,Vallcebre,1123,9.3,27.99
08299,Vilada,757,19.2,22.34
08308,Viver i Serrateix,729,2.7,66.80
08903,Sant Julià de Cerdanyola,954,19.8,11.79
25100,Gósol,1423,3.7,56.29
